Name,lat,lng,url2,,,,,,,
Pioneer Radio Telescope,40.24926,-83.057608,<a href='http://www.remarkableohio.org/index.php?/category/368'>Pioneer Radio Telescope</a>,,,,,,,
Sharp Family Homes,40.143537,-82.939132,<a href='http://www.remarkableohio.org/index.php?/category/380'>Sharp Family Homes</a>,,,,,,,
Camp Delaware 1862-1864,40.284813,-83.069039,<a href='http://www.remarkableohio.org/index.php?/category/379'>Camp Delaware 1862-1864</a>,,,,,,,
Grand Carousel,40.15674,-83.12274,<a href='http://www.remarkableohio.org/index.php?/category/381'>Grand Carousel</a>,,,,,,,
George W. Campbell Home,40.300698,-83.075702,<a href='http://www.remarkableohio.org/index.php?/category/382'>George W. Campbell Home</a>,,,,,,,
Africa Community,40.184449,-82.962649,"<a href='http://www.remarkableohio.org/index.php?/category/383' target=""_blank"">Africa Community</a>",,,,,,,
Elliott Hall,40.296012,-83.06607,"<a href='http://www.remarkableohio.org/index.php?/category/384' target=""_blank"">Elliott Hall</a>",,,,,,,
Sunbury Town Hall 1868,40.241981,-82.859418,"<a href='http://www.remarkableohio.org/index.php?/category/385' target=""_blank"">Sunbury Town Hall 1868</a>",,,,,,,
Anson Williams and The Village of Williamsville,40.171584,-83.021467,"<a href='http://www.remarkableohio.org/index.php?/category/369' target=""_blank"">Anson Williams and The Village of Williamsville</a>",,,,,,,
Radnor Cemetery Lych Gate,40.384352,-83.149627,"<a href='http://www.remarkableohio.org/index.php?/category/370' target=""_blank"">Radnor Cemetery Lych Gate</a>",,,,,,,
Bharatiya Hindu Temple, 40.216734,-83.106755,"<a href='http://www.remarkableohio.org/index.php?/category/371' target=""_blank"">Bharatiya Hindu Temple</a>",,,,,,,
Zion African Methodist Episcopal Church,40.294309,-83.071831,"<a href='http://www.remarkableohio.org/index.php?/category/372' target=""_blank"">Zion African Methodist Episcopal Church</a>",,,,,,,
The Union Land Company and the Case Family,40.154952,-83.043836,"<a href='http://www.remarkableohio.org/index.php?/category/373' target=""_blank"">The Union Land Company and the Case Family</a>",,,,,,,
Liberty Presbyterian Church Founded in 1810,40.19482,-83.053746,"<a href='http://www.remarkableohio.org/index.php?/category/374' target=""_blank"">Liberty Presbyterian Church Founded in 1810</a>",,,,,,,
Bellpoint Buccaneers,40.24665, -83.151600,"<a href='http://www.remarkableohio.org/index.php?/category/375' target=""_blank"">Bellpoint Buccaneers</a>",,,,,,,
The Gooding House and Tavern, 40.181842,-83.024074,"<a href='http://www.remarkableohio.org/index.php?/category/376' target=""_blank"">The Gooding House and Tavern</a>",,,,,,,
Benajah Cook Sawmill and Farmstead,40.151272,-82.821249,"<a href='http://www.remarkableohio.org/index.php?/category/377' target=""_blank"">Benajah Cook Sawmill and Farmstead</a>",,,,,,,
Major General William Starke Rosecrans,40.242912,-82.859168,"<a href='http://www.remarkableohio.org/index.php?/category/378' target=""_blank"">Major General William Starke Rosecrans</a>",,,,,,,
,,,,,,,,,,
